Airport,Country
BRESCIA/MONTICHIARI,Italy
BREST-BRETAGNE,France
BRINDISI/CASALE,Italy
BRISTOL,United Kingdom
BRIVE SOUILLAC,France
BRIVE/LA ROCHE,France
BRNO/TURANY,Czech Republic
BRONNOYSUND/BRONNOY,Norway
BRUSSELS,Belgium
BUCURESTI/BANEASA-AUREL VLAICU,Romania
BUCURESTI/HENRI COANDA,Romania
BUDAPEST/LISZT FERENC INTERNATIONAL,Hungary
BUOCHS,Switzerland
BURGAS,Bulgaria
BURGOS,Spain
BURSA/YENISEHIR,Turkey
BUTTWIL,Switzerland
BYDGOSZCZ/BIEDASZKOWO,Poland
BYDGOSZCZ/SZWEDEROWO,Poland
CAEN-CARPIQUET,France
CAGLIARI/ELMAS,Italy
CALVI-SAINTE-CATHERINE,France
CAMBRIDGE,United Kingdom
CAMPBELTOWN,United Kingdom
CANAKKALE,Turkey
CANNES-MANDELIEU,France
CANNES/PALM BEACH,France
CARANSEBES,Romania
CARCASSONNE-SALVAZA,France
CARDIFF,United Kingdom
CARLISLE,United Kingdom
CASCAIS,Portugal
CASTRES MAZAMET,France
CATANIA/FONTANAROSSA,Italy
CAYENNE-FELIX-EBOUE,French Guiana
CEUTA (HEL CIVIL),Spain
CEUTA,Spain
CHALONS-VATRY,France
CHAMBERY-AIX-LES-BAINS,France
CHANIA/IOANNIS DASKALOGIANNIS,Greece
CHARLEROI/BRUSSELS SOUTH,Belgium
CHATEAUROUX-DEOLS,France
CHERBOURG-MAUPERTUS,France
CHIOS/OMIROS,Greece
CLERMONT-FERRAND-AUVERGNE,France
CLUJ NAPOCA/AVRAM IANCU,Romania
COD,Not Applicable
COLLECTIVE ADDRESS FOR NOTAM AND SNOWTAM,Not Applicable
COLLOMBEY-MURAZ,Switzerland
COMISO,Italy
CONNEMARA,Ireland
CONSTANTA/MIHAIL KOGALNICEANU,Romania
CORDOBA,Spain
CORK,Ireland
CORVO,Portugal
COURCHEVEL,France
COURTELARY,Switzerland
COVENTRY,United Kingdom
CRAIOVA,Romania
CRANFIELD,United Kingdom
CROTONE,Italy
CUNEO/LEVALDIGI,Italy
DEAUVILLE-NORMANDIE,France
DEBRECEN,Hungary
DENIZLI/CARDAK,Turkey
DIJON-LONGVIC,France
DINARD PLEURTUIT SAINT MALO,France
DITTINGEN,Switzerland
DIYARBAKIR,Turkey
DOKKA/THOMLEVOLD,Norway
DOLE-TAVAUX,France
DOMBAS/BRUNSHAGEN,Norway
DONCASTER SHEFFIELD,United Kingdom
DONEGAL,Ireland
DORTMUND,Germany
DRAMMEN/SYKEHUSET BUSKERUD,Norway
DRAUGEN,Norway
DRAUGEN FLP,Norway
DRAUPNER,Norway
DRESDEN,Germany
DUBENDORF,Switzerland
DUBLIN,Ireland
DUBROVNIK/CILIPI,Croatia
DUESSELDORF,Germany
DUNDEE,United Kingdom
DURHAM TEES VALLEY,United Kingdom
DZAOUDZI,Mayotte (France)
EAST MIDLANDS,United Kingdom
ECUVILLENS,Switzerland
EDDA,Norway
EDINBURGH,United Kingdom
EGGEMOEN,Norway
EGILSSTADIR,Iceland
EINDHOVEN,Netherlands
EKOFISK A,Norway
EKOFISK,Norway
EKOFISK D,Norway
EKOFISK K,Norway
ELAZIG,Turkey
ELDFISK A,Norway
ELDFISK,Norway
ELDFISK B,Norway
ELVERUM/SYKEHUSET INNLANDET,Norway
EMDEN,Germany
ENONTEKIO,Finland
EPINAL-MIRECOURT,France
ERFURT-WEIMAR,Germany
ERZINCAN,Turkey
ERZURUM,Turkey
ESBJERG,Denmark
ESKISEHIR/HASAN POLATKAN,Turkey
EXETER,United Kingdom
FAGERNES/LEIRIN,Norway
FARO,Portugal
FARSUND/LISTA,Norway
FEDJE,Norway
FIGARI-SUD-CORSE,France
FIRENZE/PERETOLA,Italy
FLORES,Portugal
FLORO,Norway
FOGGIA/GINO LISA,Italy
FORDE/BRINGELAND,Norway
FORDE/SENTRALSJUKEHUSET,Norway
FORLI,Italy
FRANKFURT-HAHN,Germany
FRANKFURT/MAIN,Germany
FRICKTAL-SCHUPFART,Switzerland
FRIEDRICHSHAFEN,Germany
FRIGG,Norway
FRIGG DP2,Norway
FROYA/FLATVAL,Norway
FUERTEVENTURA,Spain
FUNCHAL/MADEIRA I.,Portugal
FYRESDAL,Norway
GALLIVARE,Sweden
GALWAY,Ireland
GAMPEL,Switzerland
GAZIANTEP,Turkey
GAZIPASA-ALANYA,Turkey
GDANSK IM LECHA WALESY,Poland
GEILO/DAGALI,Norway
GENEVA,Switzerland
GENOVA/SESTRI,Italy
GIRONA,Spain
GJOGUR,Iceland
GLASGOW,United Kingdom
GLOUCESTERSHIRE,United Kingdom
GOKCEADA,Turkey
GOL/KLANTEN,Norway
GOTEBORG/LANDVETTER,Sweden
GOTEBORG/SAVE,Sweden
GRACIOSA,Portugal
GRAN CANARIA,Spain
GRANADA/FEDERICO GARCIA LORCA GRANADA-JAEN,Spain
GRANE,Norway
GRAZ,Austria
GREFRATH/NIERSHORST,Germany
GRENCHEN,Switzerland
GRENOBLE-ISERE,France
GRIMSEY,Iceland
GRIMSMOEN,Norway
GRONINGEN/EELDE,Netherlands
GROSSETO,Italy
GRUYERES,Switzerland
GSTAAD-INN GRUND,Switzerland
GUDRUN,Norway
GULLFAKS A,Norway
GULLFAKS A SPM1,Norway
GULLFAKS A SPM2,Norway
GULLFAKS B (OIL RIG),Norway
GULLFAKS B,Norway
GULLFAKS C,Norway
GULLKNAPP,Norway
GYDA,Norway
GYOR/PER,Hungary
HAGFORS,Sweden
HAKKARI/YUKSEKOVA SELAHADDIN EYYUBI,Turkey
HALLI,Finland
HALMSTAD,Sweden
HAMAR/STAFSBERG,Norway
KALMAR,Sweden
KALYMNOS,Greece
KAPADOKYA,Turkey
KARDLA,Estonia
KARLOVY VARY,Czech Republic
KARLSRUHE/BADEN-BADEN,Germany
KARLSTAD,Sweden
KARPATHOS,Greece
KARS/HARAKANI,Turkey
KARUP,Denmark
KASSEL-CALDEN,Germany
KASSOS,Greece
KASTAMONU,Turkey
KASTELORIZO,Greece
KASTORIA/ARISTOTELIS,Greece
KATOWICE/PYRZOWICE,Poland
KAUHAVA,Finland
KAUNAS INTL,Lithuania
KAUTOKEINO,Norway
KAVALA/MEGAS ALEXANDROS,Greece
KAYSERI,Turkey
KEFALLINIA/ANNA POLLATOU,Greece
KEFLAVIK,Iceland
KEMI-TORNIO,Finland
KERKIRA/IOANNIS KAPODISTRIAS,Greece
KERRY,Ireland
KERRY,Ireland
KHARKIV,Ukraine
KIEL-HOLTENAU,Germany
KIRKENES/HOEYBUKTMOEN,Norway
KIRUNA,Sweden
KITHIRA,Greece
KLADNO,Czech Republic
KLAGENFURT,Austria
KOLKATA/NETAJI SUBHASH CHANDRA BOSE,India
KOMOTINI,Greece
KONYA,Turkey
KORTRIJK-WEVELGEM,Belgium
KOS,Greece
KOSICE,Slovakia
KRAGEROE airport,Norway
KRAKOW-BALICE,Poland
KRASNOYARSK/EMELYANOVO,Russia
KREMSMUENSTER,Austria
KRETA/CHANIA,Greece
KRISTIANSTAD,Sweden
KRISTIANSUND/KVERNBERGET,Norway
KRISTIANSUND/NORDMORE SJUKEHUS,Norway
KUKES,Albania
KUMBAWANGA,Tanzania
KUNGSANGEN,Sweden
KUOPIO,Finland
KUUSAMO,Finland
KYRENIA,Cyprus
LA CORUNA,Spain
LA GOMERA,Spain
LA PALMA,Spain
LA ROCHELLE-ILE DE RE,France
LAMEZIA TERME,Italy
LANZAROTE,Spain
LAOAG,Philippines
LAPPEENRANTA,Finland
LARNACA,Cyprus
LAS PALMAS/GRAN CANARIA,Spain
LASK,Poland
LATINA,Italy
LAUSANNE-BLECHERETTE,Switzerland
LE HAVRE-OCTEVILLE,France
LE PUY-EN-VELAY,France
LE TOUQUET-PARIS-PLAGE,France
LEEDS BRADFORD,United Kingdom
LEIPZIG/HALLE,Germany
LELYSTAD,Netherlands
LEON,Spain
LERWICK/TINGWALL,United Kingdom
LES EPLATURES,Switzerland
LESKOVO,Bulgaria
LEVERKUSEN,Germany
LIDKOPING,Sweden
LIECHTENSTEIN,Liechtenstein
LIEGE,Belgium
LILLE,France
LIMOGES-BELLEGARDE,France
LINZ,Austria
LISBON,Portugal
LJUBLJANA,Slovenia
LJUNGSKILE,Sweden
LJUSNE,Sweden
LJUSDAL,Sweden
LONDON CITY,United Kingdom
LONDON GATWICK,United Kingdom
LONDON HEATHROW,United Kingdom
LONDON LUTON,United Kingdom
LONDON STANSTED,United Kingdom
HAMBURG,Germany
HAMMERFEST,Norway
"HAMMERFEST, FUGLENES",Norway
HANNOVER,Germany
HARLE,Germany
HARSTAD/NARVIK/EVENES,Norway
HASENSTRICK,Switzerland
HASVIK,Norway
HATAY,Turkey
HATAY/ISKENDERUN,Turkey
HATTFJELLDAL,Norway
HATTFJELLDAL/VOLLEN,Norway
HAUGESUND/KARMOY,Norway
HAUGESUND/SJUKEHUS,Norway
HAUSEN AM ALBIS,Switzerland
HAWARDEN,United Kingdom
HEIDE-BUESUM,Germany
HEIDRUN,Norway
HEIMDAL,Norway
HELGOLAND-DUENE,Germany
HELSINKI-MALMI,Finland
HELSINKI-VANTAA,Finland
HEMAVAN TARNABY,Sweden
HERINGSDORF,Germany
HEVIZ/BALATON,Hungary
HIERRO,Spain
HILDESHEIM,Germany
HOD,Norway
HOF-PLAUEN,Germany
HOFN HORNAFIRDI,Iceland
HOKKSUND,Norway
HONNINGSVAG/VALAN,Norway
HOPEN,Norway
HORDALAND,Norway
HORNMOEN,Norway
HORTA,Portugal
HULDRA,Norway
HULTSFRED-VIMMERBY,Sweden
HUMBERSIDE,United Kingdom
HUSAVIK,Iceland
HYERES-LE PALYVESTRE,France
IASI,Romania
IBIZA,Spain
IGDIR,Turkey
IKARIA/IKAROS,Greece
INGOLSTADT/MANCHING,Germany
INISHMORE,Ireland
INNSBRUCK,Austria
INVERNESS,United Kingdom
IOANNINA/KING PYRROS,Greece
IRAKLION/NIKOS KAZANTZAKIS,Greece
IRELAND WEST,Ireland
ISAFJORDUR,Iceland
ISFJORD,Svalbard (Norway)
ISLAY,United Kingdom
ISPARTA/S.DEMIREL,Turkey
ISTANBUL/ATATURK,Turkey
ISTANBUL/ISTANBUL HAVALIMANI,Turkey
ISTANBUL/SABIHA GOKCEN,Turkey
IVALO,Finland
IZMIR/ADNAN MENDERES,Turkey
JAN MAYEN,Norway
JARLSBERG,Norway
JEREZ,Spain
JOENSUU,Finland
JONKOPING,Sweden
JOTUN A,Norway
JOTUN B,Norway
JUIST,Germany
JYVASKYLA,Finland
KAGISWIL,Switzerland
KAHRAMANMARAS,Turkey
KAJAANI,Finland
KALAMATA,Greece
KALMAR,Sweden
KALYMNOS,Greece
KAPADOKYA,Turkey
KARDLA,Estonia
KARLOVY VARY,Czech Republic
KARLSRUHE/BADEN-BADEN,Germany
KARLSTAD,Sweden
KARPATHOS,Greece
KARS/HARAKANI,Turkey
KARUP,Denmark
KASSEL-CALDEN,Germany
KASSOS,Greece
KASTAMONU,Turkey
KASTELORIZO,Greece
KASTORIA/ARISTOTELIS,Greece
KATOWICE/PYRZOWICE,Poland
KAUHAVA,Finland
KAUNAS INTL,Lithuania
KAUTOKEINO,Norway
KAVALA/MEGAS ALEXANDROS,Greece
KAYSERI,Turkey
KEFALLINIA/ANNA POLLATOU,Greece
KEFLAVIK,Iceland
KEMI-TORNIO,Finland
KERKIRA/IOANNIS KAPODISTRIAS,Greece
KERRY,Ireland
KIEL-HOLTENAU,Germany
KIRKENES/HOYBUKTMOEN,Norway
KIRKWALL,United Kingdom
KIRUNA,Sweden
KITHIRA/ALEXANDROS ARISTOTELOUS ONASSIS,Greece
KITTILA,Finland
KJELLER,Norway
KLAGENFURT,Austria
KOBENHAVN/KASTRUP,Denmark
KOBENHAVN/ROSKILDE,Denmark
KOCAELI/CENGIZ TOPEL,Turkey
KOELN/BONN,Germany
KOKKOLA-PIETARSAARI,Finland
KONGSVINGER,Norway
KONYA,Turkey
KOPASKER,Iceland
KOS/IPPOKRATIS,Greece
KOSICE,Slovakia
KOZANI/FILIPPOS,Greece
KRAKOW/BALICE,Poland
KRAMFORS-SOLLEFTEA,Sweden
KRISTIANSAND/KJEVIK,Norway
KRISTIANSTAD,Sweden
KRISTIANSUND/KVERNBERGET,Norway
KRISTIN,Norway
KUOPIO,Finland
KURESSAARE,Estonia
KUUSAMO,Finland
KVITEBJORN,Norway
LA COTE,Switzerland
LA GOMERA,Spain
LA MOLE,France
LA PALMA,Spain
LA REUNION-ROLAND GARROS,Reunion (France)
LA ROCHELLE-ILE DE RE,France
LAAGE,Germany
LAJES,Portugal
LAKSELV/BANAK,Norway
LAMEZIA TERME,Italy
LAMPEDUSA,Italy
LANDS END,United Kingdom
LANDSHUT,Germany
LANGENTHAL,Switzerland
LANNION,France
LANZAROTE,Spain
LAPPEENRANTA,Finland
LARNAKA/INTL,Cyprus
LAUSANNE-LA BLECHERETTE,Switzerland
LE CASTELLET,France
LE HAVRE-OCTEVILLE,France
LE MANS-ARNAGE,France
LE PUY-LOUDES,France
LE TOUQUET-COTE D'OPALE,France
LEEDS BRADFORD,United Kingdom
LEIPZIG-ALTENBURG,Germany
LEIPZIG/HALLE,Germany
LEKNES,Norway
LENNART MERI TALLINN,Estonia
LEON,Spain
LEROS,Greece
LERWICK/TINGWALL,United Kingdom
LES EPLATURES,Switzerland
LES SAINTES/TERRE DE HAUT/FRENCH ANTILLES,Guadeloupe (France)
LEUTKIRCH-UNTERZEIL,Germany
LIEGE,Belgium
LIEPAJA,Latvia
LILLE-LESQUIN,France
LILLEHAMMER/SYKEHUSET INNLANDET,Norway
LIMNOS/IFAISTOS,Greece
LIMOGES-BELLEGARDE,France
LINKOPING/SAAB,Sweden
LINZ,Austria
LISBOA,Portugal
LIVERPOOL,United Kingdom
LJUBLJANA/BRNIK,Slovenia
LOCARNO,Switzerland
LODZ/LUBLINEK,Poland
LOGRONO,Spain
LOGRONO/AGONCILLO,Spain
LOMMIS,Switzerland
LONDON GATWICK,United Kingdom
LONDON HEATHROW,United Kingdom
LONDON HELIPORT,United Kingdom
LONDON LUTON,United Kingdom
LONDON STANSTED,United Kingdom
LONDON/CITY,United Kingdom
LONDONDERRY/EGLINTON,United Kingdom
LORENSKOG/AKERSHUS UNIVERSITETSSYKEHUS,Norway
LORIENT-LANN-BIHOUE,France
LOSINJ/LOSINJ I.,Croatia
LUBLIN,Poland
LUEBECK-BLANKENSEE,Germany
LUGANO,Switzerland
LULEA/KALLAX,Sweden
LUNDE,Norway
LUQA,Malta
LUXEMBOURG,Luxembourg
LUZERN-BEROMUNSTER,Switzerland
LYCKSELE,Sweden
LYDD,United Kingdom
LYON SAINT-EXUPERY,France
LYON-BRON,France
MAASTRICHT/AACHEN,Netherlands
MADEIRA,Portugal
MADRID/CUATRO VIENTOS,Spain
MADRID/TORREJON,Spain
MAGDEBURG/COCHSTEDT,Germany
MAINZ/FINTHEN,Germany
MALAGA/COSTA DEL SOL,Spain
MALATYA,Turkey
MALMO,Sweden
MANCHESTER,United Kingdom
MANDAL,Norway
MANNHEIM CITY,Germany
MANSTON,United Kingdom
MARDIN,Turkey
MARIE GALANTE,Guadeloupe (France)
MARIEHAMN,Finland
MARINA DI CAMPO,Italy
MARIPASOULA,French Guiana
MARSEILLE-PROVENCE,France
MEHAMN,Norway
MELILLA,Spain
MEMMINGEN,Germany
MENORCA,Spain
MERSEBURG,Germany
METZ NANCY-LORRAINE,France
MIKONOS,Greece
MILANO/LINATE,Italy
MILANO/MALPENSA,Italy
MILOS,Greece
MITILINI/ODYSSEAS ELYTIS,Greece
MO I RANA/ROSSVOLL,Norway
MOENCHENGLADBACH,Germany
MOLDE/ARO,Norway
MOLLIS,Switzerland
MONTPELLIER MEDITERRANEE,France
MONTRICHER,Switzerland
MORA/SILJAN,Sweden
MOSJOEN/KJAERSTAD,Norway
MOSS/RYGGE,Norway
MOTIERS,Switzerland
MUENCHEN,Germany
MUENSTER/OSNABRUECK,Germany
MUGLA/DALAMAN,Turkey
MUGLA/MILAS-BODRUM,Turkey
MUNSTER,Germany
MURCIA/AEROPUERTO DE LA REGION DE MURCIA AIRPORT,Spain
MURCIA/SAN JAVIER,Spain
MUS,Turkey
NAMSOS,Norway
NANTES ATLANTIQUE,France
NAPOLI/CAPODICHINO,Italy
NARVIK/FRAMNES,Norway
NAXOS,Greece
NEUBRANDENBURG,Germany
NEUCHATEL,Switzerland
NEWCASTLE,United Kingdom
NEWQUAY,United Kingdom
NICE-COTE D AZUR,France
NIEDERRHEIN,Germany
NIMES-GARONS,France
NIS,Serbia
NJORD A,Norway
NJORD B,Norway
NORDEN-NORDDEICH,Germany
NORDFJORDUR,Iceland
NORDHOLZ,Germany
NORNE,Norway
NORRKOPING/KUNGSANGEN,Sweden
"NORWAY ACC, BODO",Norway
"NORWAY ACC, OSLO",Norway
"NORWAY ACC, STAVANGER",Norway
NORWICH,United Kingdom
NOTODDEN/TUVEN,Norway
NUERNBERG,Germany
NY-ALESUND/HAMNERABBEN,Svalbard (Norway)
OESTERSUND,Sweden
OHRID,North Macedonia
OLBIA/COSTA SMERALDA,Italy
OLSZTYN-MAZURY,Poland
OLTEN,Switzerland
OOSTENDE/BRUGGE,Belgium
OPPDAL/FAGERHAUG,Norway
ORADEA,Romania
OREBRO,Sweden
ORLAND,Norway
ORNSKOLDSVIK,Sweden
ORSTA-VOLDA/HOVDEN,Norway
OS/VAKSINEN,Norway
OSEBERG A,Norway
OSEBERG C,Norway
OSEBERG OST,Norway
OSEBERG SOR,Norway
OSIJEK/KLISA,Croatia
OSKARSHAMN,Sweden
OSLO/GARDERMOEN,Norway
OSLO/ULLEVAL UNIVERSITETSSYKEHUS,Norway
OST ADER/GULLKNALL,Norway
OSTRAVA/MOSNOV,Czech Republic
OSTRE AERA,Norway
OUESSANT,France
OULU,Finland
OXFORD/KIDLINGTON,United Kingdom
PADERBORN/LIPPSTADT,Germany
PAFOS/INTL,Cyprus
PAJALA,Sweden
PALANGA/INTERNATIONAL,Lithuania
PALERMO/PUNTA RAISI,Italy
PALMA DE MALLORCA,Spain
PAMPLONA,Spain
PANTELLERIA,Italy
PARDUBICE,Czech Republic
PARIS-CHARLES DE GAULLE,France
PARIS-LE BOURGET,France
PARIS-ORLY,France
PARMA,Italy
PARNU,Estonia
PAROS,Greece
PATREKSFJORDUR,Iceland
PAU-PYRENEES,France
PENZANCE,United Kingdom
PERIGEUX-BASSILLAC,France
PERPIGNAN RIVESALTES,France
PERUGIA/S. FRANCESCO,Italy
PESCARA,Italy
PETROJARL 1,Norway
PETROJARL VARG,Norway
PICO,Portugal
PIESTANY,Slovakia
PISA/S. GIUSTO,Italy
PLOVDIV,Bulgaria
PLYMOUTH,United Kingdom
PODGORICA,Montenegro
POINTE-A-PITRE/LE RAIZET/GUADELOUPE,Guadeloupe (France)
POITIERS-BIARD,France
PONTA DELGADA,Portugal
POPRAD-TATRY,Slovakia
PORI,Finland
PORRENTRUY,Switzerland
PORTIMAO,Portugal
PORTO,Portugal
PORTO SANTO,Portugal
POZNAN/LAWICA,Poland
PRAHA/RUZYNE,Czech Republic
PRESTWICK,United Kingdom
PREVEZA/AKTION,Greece
PULA,Croatia
PYRAMIDEN,Svalbard (Norway)
QUIMPER-PLUGUFFAN,France
RAKKESTAD,Norway
RAKKESTAD/RYGGE,Norway
RARON,Switzerland
RAUFARHOFN,Iceland
REGGIO CALABRIA,Italy
REGIONSYKEHUSET TC,Norway
REICHENBACH,Switzerland
REIMS/CHAMPAGNE,France
REINSVOLL,Norway
RENNES SAINT JACQUES,France
REUS,Spain
REYKJAHLID,Iceland
REYKJAVIK,Iceland
RIGA,Latvia
RIJEKA/KRK,Croatia
RIMINI/MIRAMARE,Italy
RINGEBU/FRYA,Norway
RINGHORNE,Norway
RIZE-ARTVIN,Turkey
ROCHEFORT-CHARENTE-MARITIME,France
RODEZ-AVEYRON,France
RODOS/DIAGORAS,Greece
ROGALAND/ORRE,Norway
ROGNAN,Norway
ROMA/CIAMPINO,Italy
ROMA/FIUMICINO,Italy
RONNEBY,Sweden
ROROS,Norway
RORVIK/RYUM,Norway
ROST,Norway
ROTTERDAM,Netherlands
ROUEN-VALLEE DE SEINE,France
ROVANIEMI,Finland
RUPPINER LAND,Germany
RZESZOW/JASIONKA,Poland
SAANEN,Switzerland
SAARBRUECKEN,Germany
SABADELL,Spain
SAINT BARTHELEMY/FRENCH ANTILLES,Saint Barthelemy (France)
SAINT BRIEUC ARMOR,France
"SAINT MARTIN, GRAND CASE, GUADELOUPE",Saint Martin (France)
SAINT PIERRE PIERREFONDS,Reunion (France)
SAINT-ETIENNE-LOIRE,France
SAINT-NAZAIRE-MONTOIR,France
SALAMANCA,Spain
SALZBURG,Austria
SAMEDAN,Switzerland
SAMOS/ARISTARCHOS OF SAMOS,Greece
SAMSUN/CARSAMBA,Turkey
SAN SEBASTIAN,Spain
SANDANE/ANDA,Norway
SANDEFJORD/TORP,Norway
SANDNESSJOEN/STOKKA,Norway
SANLIURFA/GAP,Turkey
SANTA MARIA,Portugal
SANTA MARIA OAC/FIC,Portugal
SANTIAGO,Chile
SANTORINI,Greece
SAO JORGE,Portugal
SARAJEVO,Bosnia and Herzegovina
SATU MARE,Romania
SAUDARKROKUR,Iceland
SAVONLINNA,Finland
SCATSTA,United Kingdom
SCHAFFHAUSEN,Switzerland
SCHANIS,Switzerland
SCILLY ISLES/ST MARYS,United Kingdom
SEINAJOKI,Finland
SEVE BALLESTEROS-SANTANDER,Spain
SEVILLA,Spain
SHANNON,Ireland
SHEFFIELD CITY,United Kingdom
SHOREHAM,United Kingdom
SIAULIAI/INTERNATIONAL,Lithuania
SIBIU,Romania
SIGLUFJORDUR,Iceland
SIIRT,Turkey
SINOP,Turkey
SINSHEIM,Germany
SION,Switzerland
SIRNAK/SERAFETTIN ELCI,Turkey
SITIA/VITSENTZOS KORNAROS,Greece
SITTERDORF,Switzerland
SIVAS/NURI DEMIRAG,Turkey
SKELLEFTEA,Sweden
SKI/SONDRE SKI GARD,Norway
SKIATHOS/ALEXANDROS PAPADIAMANDIS,Greece
SKIEN/GEITERYGGEN,Norway
SKIROS,Greece
SKOPJE,North Macedonia
SLEIPNER A,Norway
SLEIPNER B,Norway
SLIAC,Slovakia
SLIGO,Ireland
SNASA/GRONORA,Norway
SNORRE A,Norway
